name,item_num,rating,price
Big Agnes Deep Creek Tarp - Medium,Item #232441,0.0, $184.73
Cedar Ridge Ironwood 5 Tent,Item #213489,4.0, $108.73
ALPS Mountaineering Wavelength Blanket - Double,Item #168427,4.6, $89.73
Mountain Summit Gear Self-Inflating 1.5 Camp Sleeping Pad,Item #171846,3.5, $48.73
ALPS Mountaineering Mystique 2 Tent,Item #193078,4.3, $128.73
PackTowl Luxe Hand Towel,Item #227753,3.5, $15.73
Coleman OneSource Heated Stadium Seat with Rechargeable Battery,Item #227720,3.4, $99.73
Tifosi Seek FC Sunglasses,Item #233754,0.0, $49.73
Mountain Hardwear Outpost 2 Tent,Item #230938,3.0, $489.73
Granite Gear Perimeter 35 Pack - Women's,Item #234176,0.0, $159.73
Mountain Equipment Transalp Down Sleeping Bag - Long,Item #205587,5.0, $116.73
Rumpl Original Puffy Changing Poncho,Item #234443,0.0, $154.73
Tifosi Slice Sunglasses,Item #233759,0.0, $44.73
ALPS Mountaineering Westwind Rocker Chair,Item #213473,0.0, $148.73
Mazama Designs INTAKE Reservoir - 2 Liters,Item #228464,4.3, $18.73
Komperdell Carbon C3 Pro Compact Trekking Poles - Pair,Item #199159,2.5, $135.73
Klymit Static V Luxe SL Sleeping Pad,Item #229016,1.0, $99.73
